pickup_date,weekday
2013-01-01,Tuesday
2013-01-02,Wednesday
2013-01-03,Thursday
2013-01-04,Friday
2013-01-05,Saturday
2013-01-06,Sunday
2013-01-07,Monday
2013-01-08,Tuesday
2013-01-09,Wednesday
2013-01-10,Thursday
2013-01-11,Friday
2013-01-12,Saturday
2013-01-13,Sunday
2013-01-14,Monday
2013-01-15,Tuesday
2013-01-16,Wednesday
2013-01-17,Thursday
2013-01-18,Friday
2013-01-19,Saturday
2013-01-20,Sunday
2013-01-21,Monday
2013-01-22,Tuesday
2013-01-23,Wednesday
2013-01-24,Thursday
2013-01-25,Friday
2013-01-26,Saturday
2013-01-27,Sunday
2013-01-28,Monday
2013-01-29,Tuesday
2013-01-30,Wednesday
2013-01-31,Thursday